Random,title,text,subject,date
1.6821E-05,China says it will defend interests if U.S. harms trade ties,"BEIJING (Reuters) - China will take action to defend its interests if the United States damages trade ties, the Ministry of Commerce said on Tuesday, after U.S. President Donald Trump authorized an inquiry into China’s alleged theft of intellectual property. Trump’s move, the first direct trade measure by his administration against China, comes at a time of heightened tension over North Korea’s nuclear ambitions, though it is unlikely to prompt near-term change in commercial ties. U.S. Trade Representative Robert Lighthizer will have a year to look into whether to launch a formal investigation of China’s policies on intellectual property, which the White House and U.S. industry groups say are harming U.S. businesses and jobs. The United States should respect objective facts, act prudently, abide by its World Trade Organization pledges, and not destroy principles of multilateralism, an unidentified spokesman of China’s Ministry of Commerce said in a statement. “If the U.S. side ignores the facts, and disrespects multilateral trade principles in taking actions that harms both sides trade interests, China will absolutely not sit by and watch, will inevitably adopt all appropriate measures, and resolutely safeguard China’s lawful rights.”  The ministry said the United States should “treasure” the cooperation and favorable state of China-U.S. trade relations, and warned that any U.S. action to damage ties would “harm both sides trade relations and companies”. China was continuously strengthening its administrative and judicial protections for intellectual property, the ministry added. China’s policy of forcing foreign companies to turn over technology to Chinese joint venture partners and failure to crack down on intellectual property theft have been longstanding problems for several U.S. administrations. Trump administration officials have estimated that theft of intellectual property by China could be worth as much as $600 billion. Experts on China trade policy said the long lead time could allow Beijing to discuss some of the issues raised by Washington without being seen to cave to pressure under the threat of reprisals. China repeatedly rebuffed attempts by previous U.S. administrations to take action on its IP practices, and has insisted it rigorously protects intellectual property. State news agency Xinhua said the U.S. investigation is a unilateralist “baring of fangs” that will hurt both sides. Jacob Parker, vice president of China operations at the U.S.-China Business Council said Trump’s memo is only the beginning of the process, but that he expected a decision on how to move forward from the administration in 60-90 days.  “I think it will be much faster than a year,” Parker said. Coming to terms on a bilateral investment treaty would be a better way to get China to address the IP issues, he added. “This isn’t a surprise. Our companies have been honing their crisis communications and internal planning processes since the election. The rhetoric that came up during the campaign led them to take proactive action then. They are prepared, aware and ready for these types of actions going forward.” The investigation is likely to cast a shadow over U.S. relations with China, its largest trading partner, just as Trump is asking it to put more pressure on North Korea to give up its nuclear programm. Trump has suggested he would be more amenable to going easy on China over trade if it were more aggressive in reining in North Korea. China has said the issues of trade with the United States should not be linked to the North Korea problem. Ken Jarrett, president of the American Chamber of Commerce in Shanghai, said in a statement on Tuesday that trade and North Korea should not be linked, but that the investigation was a  “measured and necessary step”. “The president’s executive order reflects building frustration with Chinese trade and market entry policies, particularly those that pressure American companies to part with technologies and intellectual property in exchange for market access,” he said.  “Chinese companies operating in the United States do not face this pressure.”  ",politicsNews,15-Aug-17
5.98354E-05,"""The people have spoken,"" says Zimbabwe's new leader","HARARE (Reuters) - Zimbabwe s new leader Emmerson Mnangagwa told a cheering crowd in Harare on Wednesday that the country was entering a new stage of democracy following Robert Mugabe s removal as president after nearly four decades in power. Mnangagwa returned to the country earlier in the day, having fled for his safety when the 93-year-old former leader sacked him as vice president two weeks ago to smooth a path to the succession for his much younger wife Grace.   The people have spoken. The voice of the people is the voice of God,  Mnangagwa told thousands of supporters gathered outside the ruling ZANU-PF party s offices in the capital.  Today we are witnessing the beginning of a new and unfolding democracy.  Zimbabwe was once one of Africa s most promising economies but suffered decades of decline as Mugabe pursued policies that included the violent seizure of white-owned commercial farms and money-printing that led to hyperinflation.  Most of its 16 million people remain poor and face currency shortages and sky-high unemployment, something Mnangagwa promised to address.   We want to grow our economy, we want peace in our country, we want jobs, jobs, jobs,  he told the crowd, adding:  The will of the people will always, always succeed.   Mnangagwa s dismissal was the trigger for the army and former political allies to move against Mugabe, feted as an independence hero when Zimbabwe broke with former colonial power Britain in 1980 but later feared as a despot. He resigned as president on Tuesday as parliament began an impeachment process, after resisting pressure to do so for a week. People danced in the streets following his downfall, some brandishing posters of Mnangagwa and army chief General Constantino Chiwenga, who led the takeover. Parliamentary speaker Jacob Mudenda said on Wednesday that Mnangagwa would be sworn in as president on Friday after being nominated by ZANU-PF to fill the vacancy left by Mugabe. The demise of Mugabe leaves Zimbabwe in a different situation to a number of other African countries where veteran leaders have been toppled in popular uprisings or through elections. The army appears to have engineered a trouble-free path to power for Mnangagwa, who was for decades a faithful lieutenant of Mugabe and member of his elite. He was also in charge of internal security when rights groups say 20,000 civilians were killed in the 1980s.  Mugabe has gone but I don t see Mnangagwa doing anything different from that old man. This is not the change I expected but let us give him time,  said security guard Edgar Mapuranga, who sat by a bank cash machine that was out of money. Restoring the country s fortunes and international standing will be a challenge. Alleged human rights abuses and flawed elections prompted many Western countries to impose sanctions in the early 2000s that further hurt the economy, even with Chinese investment to soften the blow. Staging clean elections next year will be key to winning fresh funds. Although Mnangagwa is almost certain to win any vote, German Chancellor Angela Merkel s personal representative for Africa, Guenther Nooke, said it would be a victory for Zimbabwe s  old elites  with the help of China.   He will manage to get elected using fear or many tricks, and then we ll have a succession from one tyrant to the next,  Nooke told broadcaster SWR2. China s foreign ministry said on Wednesday it respected Mugabe s decision to resign. In London, Prime Minister Theresa May said Britain wanted Zimbabwe to rejoin the international community now that Mugabe has resigned. Mnangagwa met neighboring South Africa s President Jacob Zuma before his return on Wednesday. Mugabe is one of the last of a generation of African leaders who led their countries to independence and then ruled, among them Ghana s Kwame Nkrumah, Jomo Kenyatta in Kenya, Felix Houphouet-Boigny in Ivory Coast and South Africa s Nelson Mandela. The African Union said he would be remembered  as a fearless pan-Africanist liberation fighter and the father of the independent Zimbabwean nation  and that his decision to step down would enhance his legacy.     But he also stifled democracy en route to winning a series of elections. His government is accused by the opposition and human rights groups of persecuting and killing opponents. The forced takeover of white-owned farms from around 2000 aimed to bolster his popular support but crippled foreign exchange earnings from agriculture. Mnangagwa s human rights record also stirs hostility in many Zimbabweans.  The dark past is not going to disappear. They will be following him around like a piece of chewing gum on his shoe,  International Crisis Group s southern Africa senior consultant Piers Pigou said.  For him to really be seen to be doing the right thing, he s going to have to introduce policies that fundamentally undermine the power structures of ZANU-PF, through a shift to genuine political pluralism and a decoupling of the party and state.  ",worldnews,22-Nov-17
6.44804E-05,'You're fired' - Trump effigy feels the heat on UK bonfire night,"LONDON (Reuters) - He turned “You’re fired” into his reality show catch-phrase, but it was Donald Trump who went up in flames on Saturday - or at least an effigy of him did, as part of Britain’s annual Bonfire Night celebrations. An 11-metre-high (36 feet) model of the Republican U.S. presidential candidate was burned at a fireworks display in the town of Edenbridge, 30 miles (50 km) south of London. The sculpture showed Trump, complete with his trademark mop of hair, holding his Democratic rival for the White House, Hilary Clinton, in a headlock, and sporting a pair of Mexico-themed boxer shorts. “I think he would be quietly amused,” artist Frank Shepherd said of his muse.  Britain celebrates the failed attempt to blow up the Houses of Parliament in 1605 by letting off fireworks and lighting bonfires with an effigy of the “Gunpowder Plot” leader Guy Fawkes on top. The celebrations in Edenbridge also feature effigies of unpopular celebrities and in the past have included former FIFA president Sepp Blatter, former Prime Minister Tony Blair, deposed Iraqi leader Saddam Hussein and disgraced American cyclist Lance Armstrong. Other contenders for this year’s choice included Philip Green, the billionaire former owner of failed retail chain BHS who is under pressure to resolve the firm’s pension problems, and Sam Allardyce who quit as England soccer manager in September, after one game in charge, after a newspaper sting. Effigies of Trump, including one of him sitting atop a Mexican border control wall, were also due to go up in smoke on Saturday at a fireworks display in the town of Lewes, 60 miles south of London. ",politicsNews,5-Nov-16
0.000388103,U.S. judge orders unsealing of Clinton email probe search warrant,"NEW YORK (Reuters) - A U.S. judge on Monday ordered the unsealing of the application used to obtain a search warrant that allowed the FBI to gain access to emails related to Democratic presidential nominee Hillary Clinton’s private server before the Nov. 8 election. U.S. District Judge Kevin Castel in Manhattan directed the release by Tuesday of redacted materials used to obtain a search warrant after Federal Bureau of Investigation Director James Comey informed Congress of newly discovered emails on Oct. 28. Comey’s letter drew new attention to a damaging issue for Clinton, the Democratic presidential nominee, and roiled the campaign 11 days before the Nov. 8 election, won by Republican Donald Trump. The search warrant materials’ release sought by Randol Schoenberg, a Los Angeles-based lawyer, who in court papers said transparency was crucial given the potential influence the probe had on the election’s outcome. Sources close to the investigation have said the emails were discovered during an unrelated probe into former Democratic U.S. Representative Anthony Weiner, the estranged husband of top Clinton aide Huma Abedin. In his order, Castel said he would allow the redaction of the identities of two unnamed individuals, one of whom is subject to an “ongoing criminal investigation.” But he said the “strong presumption of access attached to the search warrant and related materials is not overcome by any remaining privacy interest of Secretary Clinton.” Lawyers for Clinton and Abedin did not immediately respond to requests for comment, nor did the U.S. Justice Department. A lawyer for Weiner had no immediate comment. Clinton used the server while she was secretary of state from 2009 to 2013. In July, Comey recommended no criminal charges be brought over Clinton’s handing of classified information in the emails, although he said she and her colleagues were “extremely careless” in handling such information. In his Oct. 28 letter to Congress, Comey said emails potentially related to the Clinton server probe had been discovered in an “unrelated case.” Sources close to the investigation have said the emails were discovered during an unrelated probe into Weiner following a media report that he engaged in sexually explicit cellphone and online messaging with a 15-year-old girl. Federal investigators got a warrant to examine the emails to see if they were related to the probe into Clinton’s private server. Only two days before the election, Comey disclosed that the emails did nothing to change his earlier recommendation. ",politicsNews,19-Dec-16
0.000475024,Pressure on as Xi's 'Belt and Road' enshrined in Chinese party charter,"SHANGHAI (Reuters) - Chinese President Xi Jinping s vast  Belt and Road  infrastructure project was unexpectedly included in the ruling Communist Party s constitution on Tuesday, giving it greater policy heft and added pressure to succeed. The party s amended charter, approved at the close of its twice-a-decade congress, pledged to  pursue the Belt and Road initiative , a further sign of Xi s expanding power and evidence that the ambitious  Silk Road -like initiative will endure beyond Xi s tenure. It also underscores how the Communist Party has increased its attention to foreign policy and reflects Xi s growing desire for China to take a global leadership role, analysts said.  Everyone knows that the Belt and Road is very important to Xi, it has his personal stamp and authority,  said Peter Cai, a non-resident fellow at Sydney-based think tank Lowy Institute.  But to have major policy, especially an external engagement policy, to be written into a party constitution, at least in recent memory, it is something quite significant,  he said. First mentioned during a speech Xi gave to university students in Kazakhstan in 2013, the plan is a vehicle for China to take a greater role on the international stage by funding and building global transport and trade links in more than 60 countries. Xi has heavily promoted the initiative, inviting world leaders to Beijing in May for an inaugural summit at which he pledged $124 billion ( 94 billion) in funding for the plan. Local Chinese governments as well as state and private firms have rushed to offer support by investing overseas and making loans.  Some critics argue that China is exporting excess industrial capacity to spread its influence, and that the initiative, which has seen developing countries take on heavy debt, needs higher standards of governance and transparency.  China has made commitments and pledges to many developing countries and it will take that length of time, 10 years or more, to complete the initiative,  said Rajiv Biswas, Asia Pacific chief economist at IHS Markit.  This has also strengthened China s soft power globally, so it wouldn t make sense for China s point of view to suddenly pull away from all of this,  he said.   Other analysts said its inclusion could be a double-edged sword that adds pressure for the initiative, which remains broadly defined and leaves much to interpretation, to succeed.  The danger of having given it greater visibility is that actually there are going to be more of those efforts to play to the policy in a political way rather than considering carefully the costs and benefits of each portion of what one is doing,  said Dali Yang, a professor at the University of Chicago. Many private investors have jumped on the bandwagon to describe their projects as Belt and Road-related, while local governments have rolled out individual Belt and Road plans.  The heads of Chinese firms including China Communications Construction Co and China Aerospace Science and Industry Corporation [SASAAI.UL] told Reuters during the week-long congress that they would place greater focus on developing their overseas businesses in support of the Belt and Road initiative. The party congress saw Xi cement his power ahead of a second five-year term and put him in the same company as the founder of modern China, Mao Zedong, with the enshrinement of his political thought into the country s constitution. ",worldnews,24-Oct-17
0.000537719,Republicans could lose U.S. House in 2018 over immigration fight: Bannon,"WASHINGTON (Reuters) - Republican infighting over the fate of immigrants brought illegally to the United States as children could be so vitriolic that the party loses control of the U.S. House of Representatives next year, Steve Bannon, a former adviser to President Donald Trump, said in an interview airing on Sunday. Bannon, whose far-right views on immigration, climate and trade helped shape Trump’s presidential campaign and his first months in office, was fired by the Republican president last month in a push to end factional fights within the White House. In an interview with the CBS program “60 Minutes,” Bannon predicted Republicans could lose control in the House in the 2018 congressional elections because of a looming battle over what to do about 800,000 immigrants known as “Dreamers.” Trump said last week he would scrap a program called Deferred Action for Childhood Arrivals, or DACA, that allowed the young immigrants to live and work in America. Bannon supported ending the program, which had been put in place by Democratic former President Barack Obama. Trump gave the Republican-controlled Congress six months to come up with an alternative, saying he would “revisit this issue” if lawmakers could not agree. “I’m worried about losing the House now because of this,” Bannon told CBS. “If this goes all the way down to its logical conclusion, in February and March it will be a civil war inside the Republican Party,” he said. “And to me, doing that in the springboard of primary season for 2018 is extremely unwise.” Republicans are divided over the Dreamers. Some believe they are illegal immigrants who are taking American jobs, while others say they contribute to the country and deserve compassion. Bannon, who said he left the White House on his own terms, lashed out against “establishment” Republicans who have at times grappled with Trump, a real estate celebrity who had never before held elected office. “The Republican establishment is trying to nullify the 2016 election,” Bannon said, saying it was an “open secret on Capitol Hill” that many Republicans did not support Trump’s agenda, and singling out Senate Majority Leader Mitch McConnell and House Speaker Paul Ryan for criticism.     “They do not want Donald Trump’s populist, economic nationalist agenda to be implemented,” Bannon said. He called Republican national security officials who had served in the George W. Bush administration “idiots,” including former secretaries of state Condoleezza Rice and Colin Powell, and former Vice President Dick Cheney. “I hold these people in contempt, total and complete contempt,” Bannon said, blaming them for U.S. trade problems with China and involvement in Iraq. “They’re idiots, and they’ve gotten us in this situation, and they question a good man like Donald Trump,” Bannon said. ",politicsNews,10-Sep-17
0.00067243,Trump hopes government shutdown won't be necessary over wall funding,"WASHINGTON (Reuters) - President Donald Trump said on Monday he hoped a government shutdown would not be necessary over his demand that the U.S. Congress fund his proposed wall along the southern border with Mexico. At a news conference with visiting Finnish President Sauli Niinisto, Trump also said Mexico may pay for the wall by reimbursement. Mexico has adamantly said it will not pay for the wall. “One way or the other Mexico is going to pay for the wall,” said Trump. Trump also said he would probably need to terminate the North American Free Trade Agreement treaty to get what he considers a fair trade deal with U.S. economic partners Mexico and Canada. “I believe that you will at least have to start the termination process before a fair deal can be arrived at,” he said. ",politicsNews,28-Aug-17
0.000896266,European Commission says 'ball still rolling' on trade deal with U.S.,"BRUSSELS (Reuters) - The European Union’s executive said on Monday it had a unanimous mandate from the bloc’s 28 members to finalize negotiations on a free trade deal with the United States, a day after Germany’s economy minister said the talks had “de facto failed”. Sigmar Gabriel of Germany, the EU’s biggest economy, said on Sunday that negotiations over the Transatlantic Trade and Investment Partnership (TTIP) had failed because Europe rejected some U.S. demands. Asked to comment on Gabriel’s remarks, a European Commission spokesman said: “The ball is still rolling” on TTIP. “Although trade talks take time, the ball is rolling right now and the Commission is making steady progress in the ongoing TTIP negotiations,” Margaritis Schinas told a news conference. The White House also disputed Gabriel’s contention, saying it was still aiming to reach a deal by the end of the year. “It’s going to require the resolution of some pretty thorny negotiations, but the president and his team are committed to doing that,” White House spokesman Josh Earnest told reporters in Washington. In Berlin, Germany’s leading industry associations were critical of Gabriel’s remarks and urged the German government to show greater commitment to free trade deals. The head of industry association BDI, Ulrich Grillo, said it was “astonishing” that Gabriel, who is also vice chancellor and head of the co-governing Social Democrats, had declared the TTIP talks a failure when negotiations were still going on. Top officials of other industry associations such as VDMA and the Auto Industry Association VDA also spoke out against Gabriel’s comments, which highlighted growing divisions within Chancellor Angela Merkel’s ruling coalition ahead of next year’s elections.   Three years of negotiations have failed to resolve multiple differences, including over food and environmental safety, with critics saying the pact would hand too much power to big multinationals at the expense of consumers and workers. Backers of a sweeping U.S.-EU free trade deal see it bringing economic gains on both sides of the Atlantic. EU trade ministers will discuss the issue in Bratislava on Sept. 22. Schinas said the Commission was still ready to finalize the deal by the end of the year but not at the expense of “Europe’s safety, health, social and data protection standards, or our cultural diversity”. Commenting separately on Gabriel’s remarks, Lithuanian Foreign Minister Linas Linkevicius said he believed arriving at a deal would benefit both the EU and the United States. “It would be better for all sides to agree,” he said. “Of course, not at an expense of our interests. We have to defend our interests, but we also have to negotiate and conclude this agreement. It would be a big boost for economies, jobs, trade.” Britain’s June vote to leave the EU has further clouded the picture, although Schinas said Brussels was still negotiating on behalf of all 28 members of the bloc, including London. ",politicsNews,29-Aug-16
0.000907697,Turkey's enemy of interest rates targets banks to boost growth,"ANKARA (Reuters) - Turkish President Tayyip Erdogan is encouraging businesses to borrow and spend to power the economic growth that has underpinned his long rule. But after years of expanding credit, some Turks are wary. Ankara hardware store owner Nurgul says she and her husband have never taken out a loan for their joint business and she is suspicious of banks.  I think they want more people in debt,  she said.  I ve borrowed for my mortgage and that left me with an excessive amount of debt.  The president, who has purged the civil service of suspected opponents since an attempted coup last year and is expected to run for reelection in 2019, shares her mistrust. He dubs interest rates  means of exploitation  and has declared himself their enemy. Since winning a narrow victory in a referendum in April to create a powerful new executive presidency, he has had Turkey s banks in his sights, calling on them to cut interest rates to contribute to the country s growth.  We will pressure the banks, especially state banks,  he said last week.  We will pave the way for investors to access credit easily.  Government stimulus measures include expanding a credit guarantee fund, guaranteeing some of the loans banks write to smaller businesses. It has backed loans worth 210 billion lira ($60 billion) so far. Bank loans grew by 12 percent in the first seven months of this year, almost double the rate in same period last year, according to regulatory data, a trend some economists say is worrying. Turkey has had one of the largest private credit expansions of any emerging market over the last decade, said William Jackson of Capital Economics in London.  Typically when you get credit booms on that scale, they are followed by a rise in non-performing loans and strains in the banking sector,  he said.  It s hard to say when those might emerge, but I think it s clearly a big risk.  Non-performing loans are at 3.1 percent after 3.2 percent last year. Cemil Ertem, chief economy adviser to the president, said he expected the ratio to fall to 2-2.5 percent in time, on the back of stiff selection criteria applied by the credit guarantee fund. Since becoming prime minister nearly a decade and a half ago, Erdogan has built his reputation on years of stellar growth. His AK Party has embarked on massive infrastructure projects, building roads, hospitals, subways and high-speed rail, and lifting millions out of poverty. In 2002, Turkey s per capita GDP averaged $3,660, behind both Libya and Gabon, according to World Bank data. Last year, it was three times that at around $11,000. Turkey now sits comfortably among the world top 20 economies and government ministers expect expansion of at least 5 percent this year, after a slowing to 3.2 percent last year.  The economy is a priority after the referendum process,  said Hatice Karahan, an Erdogan adviser. Soner Cagaptay, a fellow at the Washington Institute think-tank and author of  The New Sultan: Erdogan and the Crisis of Modern Turkey , said sustaining prosperity was vital for the president s election prospects.   Erdogan wins because he delivers economic growth. He has built a plurality - not yet a majority - that supports the AKP because he lifted so many people out of poverty,  Cagaptay said. The AKP has a loyal support base of religious conservatives but needs economic growth to retain its wider appeal, analysts say. Hurt by a faltering economy, it took 41 percent of the vote in June 2015 parliamentary elections, its worst showing since coming to power, although it regained ground in a second vote that year. Cagaptay estimates that about 10 percent of the electorate, or roughly 20 percent of AKP voters, are not die-hard Erdogan supporters.  It s that base that could easily abandon him should there be an economic collapse,  he said. While credit rating agency Fitch rates Turkey s debt as  junk  - citing the political risks that followed the failed coup attempt - it notes the economy is stronger than its peers. The government recorded a 1 percent budget deficit last year, one of the lowest in emerging markets, despite sheltering 3 million refugees from the war in neighboring Syria. But that is now changing.  Stimulus measures will weaken fiscal performance in 2017,  Fitch said in July, referring to government forecasts of a deficit of 2 percent of GDP this year. That figure is still relatively strong and the government said last month Turkey would maintain fiscal discipline by reeling in spending. Rather than borrowing, some economists say Turkey should focus on boosting its saving rate and foreign investment, something the government has pledged to do, along with an emphasis on structural reforms to spur growth. Foreign investment stood at $12.3 billion last year, down by more than $5 billion from a year ago, amid concern over the rule of law. Some 150,000 people have been sacked or suspended from their jobs since the coup attempt and 50,000 people have been arrested. ",worldnews,21-Sep-17
0.001000455,"Republican Congress takes on Washington, D.C., laws to local outrage","WASHINGTON (Reuters) - A vote by U.S. House Republicans on Monday to strike down a Washington, D.C., law that would allow doctor-assisted suicide has put the conservative Congress on a collision course with the liberal city that hosts it, local officials said. In the District of Columbia, where just 4 percent of the population voted for President Donald Trump, city leaders worry that Republicans will overturn progressive laws on issues like gun control and abortion, to the outrage of locals who have long complained of curtailed rights. One of the most liberal U.S. cities, Washington is unique in that the U.S. Constitution gives Congress the option to block its legislative moves. Its 680,000 residents pay federal income taxes but have no voting representative in Congress. “This is yet another attempt by this House committee to trample the autonomy of the D.C. Government and undermine our local control,” Washington Mayor Muriel Bowser, who signed the assisted suicide law in December, said in a statement after the signing. Monday’s vote by the House Oversight Committee, headed by Utah Representative Jason Chaffetz, took the first step in overturning the measure letting doctors help terminally ill patients end their lives. The full House and Senate would now have to vote and Trump would have to sign a repeal by Friday, the 30-day deadline for Congress to act. “Congressman Jason Chaffetz has sent a signal to D.C. residents that Congress has zero respect or concern for their will or the will of their elected officials,” Bowser said.  Bowser called the vote a power grab by legislators who espouse states’ right to make their own laws but differ when the heavily Democratic city is involved. The vote was the first in a series of Republican-sponsored measures taking on city laws. U.S. Senator Marco Rubio of Florida last month introduced legislation that would bar city lawmakers from passing gun control laws and repeal local firearm registration requirements. Rubio said the measure, aimed at Washington, was needed to protect residents’ constitutional right to bear arms. The House also has approved a bill that would permanently ban the District from using local tax funds for abortions for poor women. Congress granted the 68-square-mile (117-square-km) enclave a mayor and council in the 1970s and has voided only a handful of District laws since then. But Chaffetz has pledged to intensify scrutiny, saying at Monday’s hearing that the assisted suicide law could create “a marketplace for death.” Washington’s city council has passed laws in recent years on issues dear to liberal Democrats nationally. These include a $15-an-hour minimum wage, legalized recreational marijuana and one of the country’s most generous family leave laws. “The District is a progressive jurisdiction in the midst of a conservative Congress,” Delegate Eleanor Holmes Norton, the District’s congressional representative, said in a phone interview. Washington leaders have relied on the Senate, which has long had less appetite than the House to interfere with District laws. The city also had an ally in Democratic President Barack Obama. That protection is gone, Norton said. ",politicsNews,14-Feb-17
